,Address,Size,Type,Description
1464,100845,1,Sprite tilemap related,Tilemap of blue shell less koopa sliding out of shell
1465,101101,1,Sprite Misc.,"Change from D0 to 80 to make bob-ombs not stun themselves then explode on their own, like SMB3 and other games."
1466,101109,1,Timer,How quickly Bob-omb explodes
1467,101325,1,Misc.,What animation frame most regular sprites use when turning around
1468,101389,1,Sprite number,Sprite number to start adding wings to 2-tile high sprites
1469,101425,1,Sprite number,Sprite that Spiny Egg turns into after touching the ground
1470,101591,1,Misc.,Time it takes for a Red Vertical Parakoopa to turn around after reaching it's maximum/mimimum Y speed. (08)
1471,101794,1,Sprite physics,Winged Goomba jump height (between 80-FF).
1472,101831,16,Sprite tilemap related,"Goomba Wing alignment, X position. First 8 bytes are for the alignment when the goomba's hopping left, the other 8 when he's hopping into the right direction."
1473,101855,2,Sprite tilemap related,Palette/GFX page/Priority/Flip of Goomba Wing Tiles
1474,101857,4,Sprite tilemap related,Sprite tilemap: Goomba Wings
1475,101861,4,Sprite tilemap related,Size of Goomba Wing tiles
1476,101998,4,Misc.,"Speed of piranha plant (in pipe, going up, staying up, going down)."
1477,102035,1,Sprite Misc.,"YXPPCCCT properties of the stem of sprite 2A, the upside-down piranha plant. Change to $0A to make it use the first graphics page."
1478,102094,1,Misc.,Replace D0 with 80 to make the classic and upsidedown piranha plants keep coming out of the pipe even if Mario is near or on top of the sprite.
1479,102285,1,Sprite number,Object Hopping Flame leaves behind
1480,102343,8,Sprite tilemap related,"Bullet Bill properties, YXPPCCCT.

- First byte: Right flying bullet bill

- Second byte: Left flying bullet bill

- Third byte: Vertically upwards flying bullet bill

- Fourth byte: Vertically downwards flying bullet bill

- Fifth byte: Diagonally flying bullet bill, lower left

- Sixth byte: Diagonally flying bullet bill, upper left

- Seventh byte: Diagonally flying bullet bill, upper right

- Eighth byte: Diagonally flying bullet bill, lower right"
1481,102351,8,Sprite tilemap related,"Which GFX frame to use (00 = regular bill, 01 = vertical bill, 02 = diagonal bill) for the Bullet Bills. Same order as x91C7."
1482,102359,8,Sprite physics,X speed of Bullet Bills. Same order as $018FC7.
1483,102367,8,Sprite physics,Y speed of Bullet Bills. Same order as $018FC7.
1484,102578,8,Sprite subroutine (JSL),"SMW's third shared subroutine for drawing sprites. This one draws a single 16x16 tile.

It can be used by custom sprites, although you'll have to set the correct tile number in OAM afterwards (see the example code).Example"
1485,102586,122,Sprite physics,"Positions of each of the 4 object collision points for each sprite hitbox, relative to the sprite's XY position ($E4/$14E0 and $D8/$14D4). Consists of two 61-byte tables for each of the X and Y positions:

$0190BA-$0190F6: X positions
$0190F7-$019133: Y positions
Each byte indexed by %00ccccpp:

cccc: Which hitbox to use; retrieved from the low nybble of $1656.
pp: Which of the 4 collision points to use:

00 = Right
01 = Left
10 = Bottom
11 = Top"
1486,102712,8,Sprite subroutine (JSL),"JSL for sprites interacting with objects. Actually calls routine at $019140.


During processing GPS blocks:

$0A-$0D: Position (in pixels) of the collision point currently being processed for sprite interaction with blocks in the level:

$0A-$0B (2 bytes): X position
$0C-$0D (2 bytes): Y position


Note, just like $98-9B, coordinates are respective to the top-left of the layer currently being processed. Hence, if Layer 1 and Layer 2 are offset from each other, this value will differ between the two, even when the sprite is at the same position with respect to the level.

$0F (1 byte): Index of one of the 4 collision points currently in use. Also used to eject sprite out of block horizontally:

#$00 = SpriteV: Right (touches blocks from left)
#$01 = SpriteV: Left (touches blocks from right)
#$02 = SpriteH: Down (touches blocks from above)
#$03 = SpriteH: Up (touches blocks from below)


Be careful when using custom blocks, $0F remains used before and after custom block processing at $019533. If $0F is modified and not restored, sprite interaction glitches can occur."
1487,102929,115,Subroutine (JSR),"Sprite buoyancy routine. Called from the object interaction routine and handles collision points.


Change $01927F from $13 to $14 to fix an exploit that freezing (setting $9D or pausing the game) can be used to manipulate wall-embedded sprites (with an Xspeed of $00) to move in a desired direction (left and right), see here at 1:40 for an example."
1488,103109,2,Misc.,"[$01 $FF] Speed (right, left) given by conveyors (tiles 10C/10D) to sprites standing on them."
1489,103407,22,Sprite subroutine (JSR),The code that makes sprites move if placed on conveyor belts.
1490,103845,1,Sprite physics,Change this value to $00 to fix a small glitch with carryable sprites where throwing the sprite upwards at a hittable block will occasionally cause it to hit the block without actually activating it (due to registering both the bottom of the block and the side of another block at the same time).
1491,103932,32,Empty,Unused data.
1492,103964,8,Sprite number,Sprites spawned by stomping Koopa Troopas (shelless Koopas)
1493,103978,49,ASM,Code that handles the Bob-omb flashing and exploding. Change $019630 from 1D to 1C to disable the flashing entirely.
1494,103986,1,Sound effect,Bob-omb's explosion SFX
1495,103996,1,Timer,Length of Bob-omb's explosion
1496,104020,1,Sprite Misc.,"Bob-omb Flashing Cycle


00-Palette 06

02-Palettes 04,06

04-Palettes 02,06

06-Palettes 00,04,06

08-Palettes 06,0E

0A-Palettes 04,06,0C,0E

0C-Palettes 02,06,0A,0E

0E-All Palettes"
1497,104072,1,Misc.,Which shell colour makes a shelless Koopa become invincible (00=Green; 01=Red; 02=Blue; 03=Yellow)
1498,104134,1,ASM,Change from 1A to 04 to prevent shelless Koopas from hopping out of stunned shells (Use with $01AA15)
1499,104296,1,Sprite number,"[07] Which of the four Koopas generates a coin when stomped. Valid values are 04 (green), 05 (red), 06 (blue), and 07 (yellow). All others will make the coin never appear.

Alternatively, you can change the next two bytes ([D0 0A]) to [EA EA] to make all (shelled) Koopas spawn coins."
1500,104316,1,Sprite number,Sprite that's spawned when a Yellow Koopa is stomped (Coin)
1501,104455,1,Misc.,Default animation frame to use for the shell
1502,104462,1,Misc.,Animation frame to use for the shell when Mario is turning around while holding it
1503,104511,1,Timer,Timing that enemies in a stunned state begin to shake
1504,104529,1,Sprite tilemap related,Change to #$80 to prevent koopas eyes blinking while inside the shell.
1505,104577,1,Sprite tilemap related,Koopa eye tiles when in shell (open)
1506,104585,1,Sprite tilemap related,Koopa eye tiles when in shell (closed)
1507,104615,2,Sprite physics,"[$E0 $20] X speed (left, right) to give Disco Shells when bumping into a wall."
1508,104647,1,Sprite physics,($20) Maximum right speed of Disco Shells.
1509,104657,1,Sprite physics,($E0) Maximum left speed of Disco Shells.
1510,104723,8,ASM,Start of sprite being kicked routine.
1511,104818,1,Sprite physics,"Y speed of kicked Koopa shells and throw blocks when they hit the ground.

Change from 10 to 0C to make shells always glide over one-tile-wide holes, or 14 to make them always fall in."
1512,104863,1,Sound effect,Hitting block with shell sound
1513,104994,4,Misc.,Animation frame assignments for the shell
1514,104998,4,Misc.,Flip of each animation frame
1515,105012,1,Misc.,"How many animation frames the spinning shell has, -1"
1516,105107,1,Sprite physics,Change to 02 to fix a small glitch where sprites can slide through solid blocks while sinking in lava if they're moving to the left.
1517,105122,66,Sprite subroutine (JSR),Routine for sprites in state 02 (killed and falling offscreen). It's also shared by the routine for sprites killed in lava.
1518,105227,1,Sprite tilemap related,Tile used by squished Dino Torch
1519,105347,6,Sprite tilemap related,Standard Sprite Tile Table: Koopa tilemap
1520,105353,3,Sprite tilemap related,Standard Sprite Tile Table: Koopa shell tilemap
1521,105356,7,Sprite tilemap related,Standard Sprite Tile Table: Shelless koopa tilemap (Fourth byte unused?)
1522,105363,7,Sprite tilemap related,Standard Sprite Tile Table: Blue shelless koopa tilemap (Fourth byte unused?)
1523,105370,14,Sprite tilemap related,Standard Sprite Tile Table: Para-goomba tilemap
1524,105384,4,Sprite tilemap related,Standard Sprite Tile Table: Goomba tilemap
1525,105388,14,Sprite tilemap related,Standard Sprite Tile Table: Para-bomb tilemap
1526,105402,3,Sprite tilemap related,Standard Sprite Tile Table: Bob-omb tilemap
1527,105405,12,Sprite tilemap related,Standard Sprite Tile Table: Piranha plant tilemap
1528,105417,1,Sprite tilemap related,Standard Sprite Tile Table: Football tilemap
1529,105418,4,Sprite tilemap related,"Standard Sprite Tile Table: Bullet Bill tilemap (Horizontal, Vertical, Diagonal, Diagonal)"
1530,105422,3,Sprite tilemap related,Standard Sprite Tile Table: Spiny tilemap
1531,105425,8,Sprite tilemap related,Standard Sprite Tile Table: Spiny egg tilemap
1532,105437,3,Sprite tilemap related,Standard Sprite Tile Table: Buzzy Beetle
1533,105443,3,Sprite tilemap related,Standard Sprite Tile Table: Buzzy Beetle Shell.
1534,105446,6,Sprite tilemap related,Spike Top tilemap
1535,105452,2,Sprite tilemap related,Hopping Flame tilemap
1536,105454,6,Sprite tilemap related,"Lakitu tilemap (3 frames, 2 bytes each)"
1537,105462,12,Sprite tilemap related,Magikoopa Tilemap
1538,105474,1,Sprite tilemap related,Throw block sprite tilemap and turn block sprite with hidden enemies inside. (Both use the same byte)
1539,105475,10,Sprite tilemap related,Climbing Koopa Tilemap
1540,105485,4,Sprite tilemap related,"Fish (Cheep Cheep) Tilemap (2 frames swimming, 2 frames flopping)"
1541,105491,4,Sprite tilemap related,Thwimp Tilemap
1542,105495,1,Sprite tilemap related,"Yoshi Egg Tilemap (only manifests if the Yoshi egg is in the stunned status ($14C8 = #$09), i.e. found in a block or laid by Yoshi; otherwise, the tile loaded from this address is overwritten before drawing).


Change alongside $01F760 - $01F763 and $01F794 to completely remap the Yoshi egg tiles."
1543,105501,12,Sprite tilemap related,Portable Springboard Tilemap
1544,105517,4,Sprite tilemap related,Bony Beetle tilemap
1545,105525,16,Sprite tilemap related,Vertical Fireball (Podoboo) tilemap.
1546,105562,2,Sprite tilemap related,Eerie tilemap
1547,105564,9,Sprite tilemap related,Boo Ghost Tilemap
1548,105573,4,Sprite tilemap related,Rip Van Fish Tilemap
1549,105577,2,Sprite tilemap related,Vertical Dolphin Tilemap
1550,105579,2,Sprite tilemap related,Diggin' Chuck's Rock Tilemap
1551,105581,3,Sprite tilemap related,Monty Mole Tilemap
1552,105584,1,Sprite tilemap related,Ledge-dwelling Mole's Dirt Tilemap (data shared with Goal Point Sphere's Tilemap)
1553,105585,8,Sprite tilemap related,"Ground-dwelling Monty Mole's Dirt (2 Air tiles, 2 Dirt Tiles, 2 Air tiles, 2 Dirt Tiles)"
1554,105593,4,Sprite tilemap related,Sumo Bros' Lightning Tilemap
1555,105597,2,Sprite tilemap related,Ninji Tilemap
1556,105599,84,Sprite tilemap related,Table containing a sprite's location in the Standard Sprite Tile Table.
1557,105683,4,Sprite tilemap related,X displacement for tiles in the first shared GFX routine ($019CF3).
1558,105715,108,Sprite subroutine (JSR),The first of the shared graphics subroutines.  This one creates 4 8x8 tiles in a 16x16 block.
1559,105823,177,Sprite subroutine (JSL),"The second of the shared graphics subroutines.  This one creates 2 16x16 tiles in a 16x32 block, with the second one tile below the base position.  It can also be called with a JSR to $019D67."
1560,105910,1,Sprite tilemap related,Palette/GFX page of standard sprites (shared)
1561,106012,4,Sprite tilemap related,Sprite tilemap: Paratroopa Wings
1562,106016,4,Sprite tilemap related,Palette/GFX page/Priority/Flip of Paratroopa Wing tiles
1563,106020,4,Sprite tilemap related,Size of Paratroopa Wing tiles
1564,106133,116,Sprite subroutine (JSR),"Subroutine that draws wings for 16x16 sprites.

It uses $1570,x to decide if to draw open or closed wings (increasing it once per frame will result in the normal wings animation speed).

If used in a custom sprite, the data bank needs to be set to $01 (see example code).Example"
1565,106253,78,Sprite subroutine (JSR),The third of the shared graphics subroutines.  This one creates a single 16x16 tile.
1566,106300,1,Sprite tilemap related,Palette/GFX page of standard sprites (shared)
1567,106331,6,Coordinate,"x-pos table of sprite being carried: 

walking, turn from left to right, turn from right to left (two bytes each, indexed by Mario's direction)"
1568,106347,4,Sprite physics,"X-speed of the touched/kicked shell.

Value 1: left-speed, when touched (not kicking)

Value 2: right-speed, when touched

Value 3: left-speed, when kicked

Value 4: right-speed, when kicked.

This will also affect the shell of buzzy beetle! Setting the speed to 00 or FF will make the shells not spinning, giving unlimited score.

Original Values:

D2 2E CC 34"
1569,106395,46,Subroutine (JSR),"First half of the routine that handles sprites being carried, though it's actually only the part that handles the P-balloon.

Any other sprite will branch to $019FE0

$019FA7 change to EA EA EA EA EA to the P-Balloon last forever.

$019FB0 is the time at which the deflatting animation starts. (default 30)

$019FC2 change 90 to 80 to make Mario keep the balloon effect even after taking hits or power-ups. (causes weird behaviour when dying)"
1570,106407,5,ASM,Change to [EA EA EA EA EA] to give the P-Balloon an infinite timer
1571,106663,1,Sprite physics,Number of frames to disable player contact with any carryable sprite after kicking it.
1572,106668,1,Timer,"Time to show Mario's ""kicking"" pose when a Bob-omb is kicked"
1573,106777,1,Coordinate,carried sprite Y-pos while picking up
1574,106977,4,ASM,Changing [1A 1A 29 0F] to [EA EA EA EA] will disable the throw block sprites flashing.
1575,106992,1,Sprite tilemap related,Tile used by stunned Bob-omb
1576,107002,1,Sprite tilemap related,Key tilemap
1577,107041,1,Sprite tilemap related,POW (P-Switch) Tilemap
1578,107114,1,Sprite physics,[$F0] Baby Yoshi's idle hopping speed. Change to $00 to make him not hop when on the ground.
1579,107153,1,Sound effect,Sound baby Yoshi makes when eating
1580,107157,2,Sprite Misc.,"Change to [$80,$1E] to make Baby Yoshi instantly grow when eating something, regardless if it's a powerup or not.

Change to [$80,$5D] to make Baby Yoshi never grow instantly when eating something, even if it's a powerup. It will count as one sprite eaten instead.

If changing this, you also need to apply the hex edit at $03C03C for it to work properly."
1581,107196,1,Sprite number,Sprite that Baby Yoshi turns into
1582,107206,1,Sound effect,Yoshi's egg explodes sound
1583,107259,1,Misc.,Number of enemies Baby Yoshi must eat to grow
1584,107264,2,Sprite Misc.,"Change to $80,$02 to disable getting a coin when Baby Yoshi eats something."
1585,107487,44,Sprite subroutine (JSR),Routine called by the shared sprite GFX routines at $019D5F and $0190B2 to hide tiles that would be drawn offscreen vertically. It works for both 1 and 2 tile high sprites by using the first two bits in $186C to determine which tile(s) should be hidden.
1586,108062,7,Sound effect,Sound effects to use for consecutive bounces on enemies. Begins with [13] (1st bounce) and ends with [19] (7th bounce).
1587,108123,1,Sound effect,Koopa hit by shell sound
1588,108310,1,ASM,Set to 60 to stop Blue Koopas from kicking shells
1589,108329,1,Sound effect,Kicking shell sound
1590,108343,1,Sprite Misc.,[0F] Change to [0D] to fix a bug where shell-less Koopas can hop inside a Bob-omb if its stun timer is 0 (by being carried through a pipe).
1591,108429,1,ASM,Set to 80 to stop Blue Koopas from stopping shells
1592,108497,1,Sprite number,Enemy spawned from stomping horizontal green winged koopas
1593,108498,1,Sprite number,Enemy spawned from stomping bouncing green winged koopas
1594,108499,1,Sprite number,Enemy spawned from stomping vertical red winged koopas
1595,108500,1,Sprite number,Enemy spawned from stomping horizontal red winged koopas
1596,108501,1,Sprite number,Enemy spawned from stomping yellow winged koopas
1597,108505,1,Sprite number,Enemy spawned from stomping winged goombas
1598,108506,1,Sprite number,Sprite spawned from Para-Goomba
1599,108507,1,Sprite number,Sprite spawned from Para-Bomb
1600,108508,93,Subroutine (JSL),"Subroutine that checks for contact between Mario and the sprite slot currently in X. If carry is set, Mario is touching the sprite."
1601,108528,3,Sprite Misc.,Change from [1D A0 15] to [EA EA EA] to fix a glitch where sprites lose their interaction with the player while touching the edge of the screen. An example of this happens when a Banzai Bill's leftmost pixel goes past the left edge of the screen.
1602,108603,779,Sprite subroutine (JSR),"Default sprite interaction routine. The sprite interaction routine calls it if $167A,x is positive/ bit 7 is not set.

- $01A852 controls number where the star chain should stop. To be used with $01A856

- $01A856 controls, how many points/ one-ups are added if the max limit of a star chain is reached. To be used with $01A852


$01A8D0 handles the code when you jump on a spiky enemy.

Change $01A8D3 to $AD (LDA $xxxx) to disable spin jumping on spiky enemies. On contrary, change $01A8D3 to $80,$01 (BRA $01) to disable jumping with Yoshi on spiky enemies. To disable both, change $01A8D0 to $80,$04 (BRA $04).


$01A91C handles the code when you jump on a non-spiky enemy.

Change $01A91F to $AD (LDA $xxxx) to make spin jumps count as normal jumps. On contrary, change $01A91F to $80,$01 (BRA $01) to make jumps with Yoshi on enemies count as regular jumps. To make both count as regular jumps, change $01A91C to $80,$04 (BRA $04).


Change $01A930 to $00 to enable the boost gain with spin jump kill.

$01A940 is the sound effect to play when you kill an enemy with a spin jump/ jump with Yoshi.


$01AA42 is the routine for carryable sprites.

Change $01AA61 to $AD (LDA $xxxx) to enable carrying more than one sprite at time even though you already have one."
1603,108679,1,Sprite physics,Number of frames to disable player contact for most sprites after being touched by Mario. Used to prevent issues like Mario getting hurt by a sprite he just bounced off of.
1604,108755,1,Misc.,Change from 0D to AD to prevent Mario from being able to jump on spikey enemies with the spin jump
1605,108864,1,Sound effect,Sound effect used when spinjumping an enemy or when Yoshi stomps on it.
1606,108918,1,Sprite number,Sprite that Super Koopa (sprite 73) becomes when stomped
1607,108935,1,Sprite number,Enemy spawned from stomping Dino-Rhino
1608,109017,1,Timer,Timer for displaying smashed shelless Koopas
1609,109070,1,Misc.,"Change to 03 to prevent Bob-omb, Goomba, Mechakoopa's stun timers from being reset when kicked"
1610,109077,1,ASM,Change from 02 to FF to prevent Koopas from spawning shelless Koopas when jumped on. (Use with $0196C6)
1611,109097,1,Timer,"Stun timer for Goombas, Buzzy Beetles, Mechakoopas, Bob-ombs"
1612,109102,1,Misc.,State of Koopa when stomped
1613,109107,15,Subroutine (JSL),Boost player subroutine. Boosts the player up a bit or a lot depending on whether A/B are being pressed.
1614,109112,1,Sprite physics,How high Mario bounces when he jumps on an enemy (normal jump & spin jump)
1615,109118,1,Sprite physics,How high Mario bounces when he jumps on an enemy with button A pressed (normal jump & spin jump)
1616,109148,1,ASM,Change from BEQ [F0] to BRA [80] and Mario will not be able to carry items by holding X or Y.
1617,109216,1,Misc.,State of Koopa shell when kicked
1618,109221,1,Timer,Number of frames to disable player contact with any carryable sprite after touching it without holding dash (not to be confused with $01A0A7). Default is $10.
1619,109317,2,Music,Change to [80 00] to not have star music override P-Switch music. Instead which ever is pressed/collected recently will have priority.
1620,109320,1,Music,Music played when a POW is pressed
1621,109325,1,Timer,Time it takes for POW to disappear after jumping on it. Change to 00 to keep the POW after jumping on it.
1622,109339,1,Timer,"How long blue and silver P-Switches last (default is $B0), in units of every 4th frame. Therefore PSwitchTimerLength = Seconds * 15"
1623,109344,1,Timer,POW shaking screen timer.
1624,109352,4,Misc.,Change to EA EA EA EA to prevent on screen sprites from turning into silver coins when the silver POW is active (USE WITH $02A9A1)
1625,109361,21,Sprite physics,"Code that pushes the player out of solid carryable sprites, such as keys and springboards. Increments/decrements $94 (player x position)."
1626,109397,1,Sound effect,Change to [80] to give enemies (inc. goomba) the SMAS stomp sound.
1627,109411,1,Misc.,"Value that determines what to give the player for bouncing on 8 or more enemies consecutively. Change to [07] to give the player 8000 points instead of a 1up for the consecutive jumps. 

(See ROM Map address $02ACE5 for other values)"
1628,109423,42,Sprite subroutine (JSL),"Routine that displays the white star effect at a sprite's position and plays the ""kicked"" sfx (used, for example, when kicking a Shell or killing an enemy with a Shell).


JSL to $01AB72 to show the star but not play the sound effect."
1629,109465,51,Sprite subroutine (JSL),"Routine that displays the contact graphics at Mario's position, usually called by sprites when Mario jumps on them."
1630,109817,55,Subroutine (JSL),"Random number generation subroutine. Access using JSL $01ACF9.


output:

16bit result at $148D."
1631,110216,8,Sprite Misc.,"Sprites for the flying ? blocks to spawn, as indexes to the table starting at $0288A3. First four are used if Mario has a powerup, second four if he doesn't."
1632,110279,1,ASM,Change from $26 to $31 to prevent Thwomps from dropping while vertically off screen.
1633,110305,1,Misc.,"What face to use for Thwomp if Mario comes close (00 - Calm, 01 - Grumpy, 02 - Raging)"
1634,110319,1,Misc.,"What face to use for Thwomp Crashing down (00 - Calm, 01 - Grumpy, 02 - Raging)"
1635,110355,1,Timer,Thwomp shaking screen timer.
1636,110360,1,Sound effect,Thwomp Sound Effect.
1637,110365,1,Timer,Thwomp Stalling Timer.
1638,110393,1,Sprite physics,"Thwomp returning Y speed (between 80-90, C0, E0-FF) other values can give odd effects, so do not use any other bytes."
1639,110410,5,Sprite tilemap related,Thwomp Tilemap
1640,110415,5,Sprite tilemap related,"YXPPCCCT - Thwomp Properties


Byte 01 - Top left

Byte 02 - Bottom left

Byte 03 - Top right

Byte 04 - Bottom Right

Byte 05 - Angry Thwomp Face"
1641,110477,1,Sprite tilemap related,Angry Thwomp Face
1642,110570,1,Sprite physics,Thwimp jumping height (between 80-FF)
1643,110579,1,Sprite physics,Thwimp jumping Right speed.
1644,110583,1,Sprite physics,Thwimp jumping Left Speed.
1645,110589,1,Sound effect,Thwimp Sound Effect.
1646,110594,1,Timer,Thwimp stalling timer
1647,110753,1,Misc.,Value to add for flopping Cheep-Cheep animations
1648,110788,1,Sprite physics,"How far cheep-cheeps will move (the greater the value, the longer the distance.)"
1649,110863,1,Misc.,Change to 00 to switch the GFX pages used by the swimming and flopping Cheep-Cheeps
1650,110873,3,Sprite tilemap related,Replace 9D F6 15 with EA EA EA to make the fish (Cheep Cheep) tilemap use a single GFX page
1651,110890,36,Sprite subroutine (JSR),"This subroutine is what is used to kill stunned koopas and out of water fish. The following offsets may be of use:

$01B12B - How long to show the player kicked a sprite pose.

$01B130 - The sound effect to play (default #$03)

$01B132 - The sound effect channel (default $1DF9)

$01B13D - Y speed of the dying sprite (default #$E0)

$01B145 - Forces the player to face the killed sprite, change to NOP #2 (EA EA) to disable"
1652,110926,44,Sprite subroutine (JSR),Sprite based sparkle routine. Used by Magikoopa's magic and the goal sphere. The goal sphere calls $01:B152.
1653,111122,4,Sprite physics,"Table of X speeds for the floating spike ball (sprite A4).  In order: Slow right, slow left, fast right, fast left."
1654,111150,5,Sprite Misc.,The code that checks the sprite buoyancy to determine whether sprites 5C and 5E should float on water or be suspended in the air.  You can change this to 80 03 xx xx xx (xx can by any byte) to make them always stay in air or to 80 06 xx xx xx to make them always float.
1655,111299,14,Sprite tilemap related,"For sprites 55-58 and 5B-5E, partly determines which tilemap to use.  00 -> wooden or checkerboard platform, 01 -> flying rock or grassy platform.  The table offset is the sprite number minus 55, and the fifth and sixth bytes and the last four bytes are not used."
1656,111403,1,Sprite tilemap related,"Change to 80 to let sprite 63 use the wooden platform tilemap only.

However, the size will be still different, depending on the x-pos."
1657,111406,1,Sprite tilemap related,"Left Tile of Checkerboard Platform (sprites 55, 57, 5C and 63)"
1658,111411,1,Sprite tilemap related,"Center Tile of Checkerboard Platform (sprites 55, 57, 5C and 63)"
1659,111422,1,Sprite tilemap related,"Right Tile of Checkerboard Platform (sprites 55, 57, 5C and 63)"
1660,111429,1,Sprite tilemap related,Tilemap:  Left edge of line guided wooden platform (Sprite 62)
1661,111434,1,Sprite tilemap related,Tilemap: Center of line guided wooden platform (Sprite 62)
1662,111445,1,Sprite tilemap related,Tilemap: Right edge of line guided wooden platform (Sprite 62)
1663,111474,1,Sprite tilemap related,Tilemap: Right edge of line guided wooden platform (Sprite 62)
1664,111491,9,Sprite tilemap related,Grassy Orange Platform Tilemap (sprites 5D and 5E)
1665,111500,9,Sprite tilemap related,Flying Rock Platform Tilemap (Sprites 56 and 58)
1666,111663,1,Sprite tilemap related,Edge of Flying Rock Platform (mirrored)
1667,111668,1,Sprite tilemap related,Bottom edge of Rock Platform (mirrored)
1668,111675,1,Sprite tilemap related,Edge of Grassy Orange Platform (mirrored)
1669,111680,1,Sprite tilemap related,Bottom edge of Grassy Orange Platform (mirrored)
1670,111695,231,Sprite subroutine (JSL),"Invisible solid block subroutine. JSL to it in a sprite to make it solid.

$01B4C0 - Change to A0 00 to make Super/Fire/Cape Mario have a 16x16 interaction field (like Small Mario) or change to A0 01 to have a 16x32 intereaction field (like Big Mario) (in conjunction with addresses $00EB79 and $03B67C)

$01B4F3 - SFX that comes up when Mario hits the Message Block/Flying ?-Block sprite.


After the routine is done, it outputs the carry flag:

C = set when the player is in contact with the solid sprite, otherwise clear."
1671,111957,1,Sprite physics,Speed of the horizontal platform that goes on forever (sprite 5E).
1672,112218,4,Sprite tilemap related,"X displacement for each tile of the floating spike ball (sprite A4).  In order: Top left, top right, bottom left, bottom right."
1673,112222,4,Sprite tilemap related,"Y displacement for each tile of the floating spike ball (sprite A4).  In order: Top left, top right, bottom left, bottom right."
1674,112226,4,Sprite tilemap related,"Tile properties for each tile of the floating spike ball (sprite A4).  In order: Top left, top right, bottom left, bottom right."
1675,112230,57,Sprite subroutine (JSR),"The GFX routine for the floating spike ball (sprite A4). $01B686 controls the first tile number used, and the second is always one 16x16 tile to the right of that."
1676,112287,2,Misc.,Length of Turn Block Bridge (sprites 59 and 5A)
1677,112289,2,Sprite physics,X speed of Turn Block Bridge (sprites 59 and 5A)
1678,112291,2,Misc.,Time of Turn Block Bridge (sprites 59 and 5A)
1679,112510,1,Sprite tilemap related,Tile used by Turn Block Bridge (sprites 59 and 5A)
1680,112528,14,Sprite tilemap related,"Change to [09 xx 99 07 03 99 0B 03 99 0F 03 99 13 03] to change the palette used by the turn block bridge. (""xx"" is the new palette value; 00 is the original.) This also prevents the last tile from being X-flipped."
1681,112563,8,Sprite subroutine (JSL),"Finish OAM write caller subroutine (JSRs to the main one and ends in RTL).


Value in A: Amount of OAM slots to write minus 1 (i.e. to write 4 tiles, A must be #$03)

Value in Y: Size of the OAM tiles. #$00 = 8x8, #$02 = 16x16, any negative value (e.g. #$FF) = is manually set with $0460.


Note: This routine is only used if you finished to write with a regular sprite. Do not use it outside of regular sprites!"
1682,112571,136,Sprite subroutine (JSR),Finish OAM write routine. JSL to $01B7B3 to access it from all banks other then bank $01.
1683,112956,2,Sprite physics,"Green horizontal net Koopa's speed (right, left). Red horizontal net Koopas move twice this speed."
1684,112973,1,Sprite physics,Green vertical net Koopa's initial speed. Red vertical net Koopas move twice this speed.
1685,113184,1,Sprite physics,Lowest Map16 tile that a vertical net Koopa can climb on. Change from 07 to 06 to allow vertical net Koopas to climb on vine tiles.
1686,113188,1,Sprite physics,"Highest Map16 tile that a vertical net Koopa can climb on, plus one."
1687,113195,1,Sprite physics,Lowest Map16 tile that a horizontal net Koopa can climb on. Change from 07 to 06 to allow horizontal net Koopas to climb on vine tiles.
1688,113199,1,Sprite physics,"Highest Map16 tile that a horizontal net Koopa can climb on, plus one."
1689,113335,21,Sprite tilemap related,Gate Sprite Tilemap
1690,113619,1,Sprite tilemap related,Gate Sprite palette
1691,113716,4,Sprite tilemap related,The OAM Properties of the Magikoopa's magic.
1692,113767,8,Misc.,Change to EA EA EA EA EA EA EA EA and every Map16 block will change into sprites when touched by Magikoopa's Magic. (Not just turn blocks)
1693,113789,1,Sprite number,What Magikoopa's magic transforms turn block into (1up)
1694,113795,1,Sprite number,What Magikoopa's magic transforms turn block into (Coin)
1695,113801,1,Sprite number,What Magikoopa's magic transforms turn block into (Thwimp)
1696,113807,1,Sprite number,What Magikoopa's magic transforms turn block into (Yellow Koopa)
1697,113888,16,Sprite Misc.,Magikoopa's Magic Sine Rotation Table.
1698,114051,1,Sprite tilemap related,Magikoopa's Magic Tilemap (Circle)
1699,114056,1,Sprite tilemap related,Magikoopa's Magic Tilemap (Square)
1700,114061,1,Sprite tilemap related,Magikoopa's Magic Tilemap (Triangle)
1701,114437,1,Sprite tilemap related,Tile used by Magikoopa's Wand
1702,114473,1,Sound effect,SFX played by Magikoopa
1703,114483,1,Sprite number,The sprite that Magikoopa throws
1704,114538,121,Sprite subroutine (JSR),The aiming routine used by Magikoopas to aim their magic at (the upper tile of) the player. Input is the total speed (X + Y); output is Y speed in $00 and X speed in $01.
1705,114877,1,Misc.,[95] Change to A5 to stop the goal point bar from moving.
1706,114928,1,Music,Goal tape end level music
1707,114954,1,Sound effect,Goal tape breaking sound effect.
1708,114971,1,Timer,How long the bonus star number stays on screen
1709,115032,1,Sprite tilemap related,Goal Bar Tilemap
1710,115044,1,Sprite tilemap related,Palette/priority/flip of Goal tape tiles
1711,115066,4,Misc.,Change 22 CA F1 07 to EA EA EA EA to disable the digits made up of star tiles at the goal tape (which resemble the amount of bonus stars gathered)
